,result,iterations,eta,gamma,max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,lambda,alpha,scale_pos_weight,objective,eval_metric,silent
47,0.7629021999999999,119,0.3,0.4,3,70,0.6,0.9,1,1.0,0.0,1.0,binary:logistic,auc,1
48,0.7630594,172,0.3,0.4,3,70,0.6,0.7,1,1.0,0.0,1.0,binary:logistic,auc,1
49,0.7633674,186,0.3,0.4,3,70,0.6,0.6,1,1.0,0.0,1.0,binary:logistic,auc,1
50,0.7636626,182,0.3,0.4,3,70,0.8,0.6,1,1.0,0.0,1.0,binary:logistic,auc,1
51,0.7637194,158,0.3,0.4,3,70,0.7,0.6,1,1.0,0.0,1.0,binary:logistic,auc,1
52,0.7639728,151,0.3,0.4,3,70,0.7,0.8,1,1.0,0.0,1.0,binary:logistic,auc,1
53,0.7641990000000001,155,0.3,0.4,3,70,0.6,0.8,1,1.0,0.0,1.0,binary:logistic,auc,1
54,0.7642194000000001,187,0.3,0.4,3,70,0.9,0.6,1,1.0,0.0,1.0,binary:logistic,auc,1
55,0.7642264000000001,181,0.3,0.4,3,70,0.9,0.8,1,1.0,0.0,1.0,binary:logistic,auc,1
56,0.7642325999999999,151,0.3,0.4,3,70,0.7,0.9,1,1.0,0.0,1.0,binary:logistic,auc,1
57,0.7642845999999999,204,0.3,0.4,3,70,0.8,0.7,1,1.0,0.0,1.0,binary:logistic,auc,1
58,0.7643016,179,0.3,0.4,3,70,0.9,0.9,1,1.0,0.0,1.0,binary:logistic,auc,1
59,0.7643326,170,0.3,0.4,3,70,0.9,0.7,1,1.0,0.0,1.0,binary:logistic,auc,1
60,0.7648108,176,0.3,0.4,3,70,0.7,0.7,1,1.0,0.0,1.0,binary:logistic,auc,1
61,0.7649193999999999,183,0.3,0.4,3,70,0.8,0.9,1,1.0,0.0,1.0,binary:logistic,auc,1
62,0.7649292,171,0.3,0.4,3,70,0.8,0.8,1,1.0,0.0,1.0,binary:logistic,auc,1
63,0.7642626,152,0.3,0.4,3,70,0.8,0.8,1,0.01,0.0,1.0,binary:logistic,auc,1
64,0.7644677999999999,150,0.3,0.4,3,70,0.8,0.8,1,0.1,0.0,1.0,binary:logistic,auc,1
65,0.764498,187,0.3,0.4,3,70,0.8,0.8,1,0.03,0.0,1.0,binary:logistic,auc,1
66,0.7648104,149,0.3,0.4,3,70,0.8,0.8,1,0.3,0.0,1.0,binary:logistic,auc,1
67,0.7649292,171,0.3,0.4,3,70,0.8,0.8,1,1.0,0.0,1.0,binary:logistic,auc,1
68,0.7642452,166,0.3,0.4,3,70,0.8,0.8,1,1.0,1.0,1.0,binary:logistic,auc,1
69,0.7645868,171,0.3,0.4,3,70,0.8,0.8,1,1.0,0.03,1.0,binary:logistic,auc,1
70,0.7647875999999999,170,0.3,0.4,3,70,0.8,0.8,1,1.0,0.1,1.0,binary:logistic,auc,1
71,0.764939,176,0.3,0.4,3,70,0.8,0.8,1,1.0,0.3,1.0,binary:logistic,auc,1
72,0.7650324,171,0.3,0.4,3,70,0.8,0.8,1,1.0,0.01,1.0,binary:logistic,auc,1
73,0.7627295999999999,147,0.3,0.4,3,70,0.8,0.8,1,1.0,0.01,11.5,binary:logistic,auc,1
74,0.7650324,171,0.3,0.4,3,70,0.8,0.8,1,1.0,0.01,1.0,binary:logistic,auc,1
