,result,iterations,eta,gamma,max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,lambda,alpha,scale_pos_weight,objective,eval_metric
49,0.7623428000000001,127,0.3,0.4,3,30,0.6,0.9,1,1.0,0.0,1.0,binary:logistic,auc
50,0.7623582,118,0.3,0.4,3,30,0.6,0.8,1,1.0,0.0,1.0,binary:logistic,auc
51,0.7628983999999999,123,0.3,0.4,3,30,0.7,0.6,1,1.0,0.0,1.0,binary:logistic,auc
52,0.7632404,139,0.3,0.4,3,30,0.7,0.9,1,1.0,0.0,1.0,binary:logistic,auc
53,0.7632996000000001,174,0.3,0.4,3,30,0.7,0.7,1,1.0,0.0,1.0,binary:logistic,auc
54,0.7634252,128,0.3,0.4,3,30,0.8,0.8,1,1.0,0.0,1.0,binary:logistic,auc
55,0.763428,130,0.3,0.4,3,30,0.8,0.7,1,1.0,0.0,1.0,binary:logistic,auc
56,0.7634434,229,0.3,0.4,3,30,0.8,0.6,1,1.0,0.0,1.0,binary:logistic,auc
57,0.7634572,171,0.3,0.4,3,30,0.7,0.8,1,1.0,0.0,1.0,binary:logistic,auc
58,0.7641762,217,0.3,0.4,3,30,0.8,0.9,1,1.0,0.0,1.0,binary:logistic,auc
59,0.7642702,209,0.3,0.4,3,30,0.9,0.8,1,1.0,0.0,1.0,binary:logistic,auc
60,0.7643568000000001,248,0.3,0.4,3,30,0.9,0.7,1,1.0,0.0,1.0,binary:logistic,auc
61,0.7644964,155,0.3,0.4,3,30,0.9,0.6,1,1.0,0.0,1.0,binary:logistic,auc
62,0.7650172000000001,193,0.3,0.4,3,30,0.9,0.9,1,1.0,0.0,1.0,binary:logistic,auc
63,0.7642968,142,0.3,0.4,3,30,0.9,0.9,1,0.03,0.0,1.0,binary:logistic,auc
64,0.7643793999999999,193,0.3,0.4,3,30,0.9,0.9,1,0.01,0.0,1.0,binary:logistic,auc
65,0.7646257999999999,182,0.3,0.4,3,30,0.9,0.9,1,0.1,0.0,1.0,binary:logistic,auc
66,0.764852,191,0.3,0.4,3,30,0.9,0.9,1,0.3,0.0,1.0,binary:logistic,auc
67,0.7650172000000001,193,0.3,0.4,3,30,0.9,0.9,1,1.0,0.0,1.0,binary:logistic,auc
68,0.7646946,168,0.3,0.4,3,30,0.9,0.9,1,1.0,0.03,1.0,binary:logistic,auc
69,0.7650912,193,0.3,0.4,3,30,0.9,0.9,1,1.0,0.3,1.0,binary:logistic,auc
70,0.7651304,160,0.3,0.4,3,30,0.9,0.9,1,1.0,0.01,1.0,binary:logistic,auc
71,0.7651588,177,0.3,0.4,3,30,0.9,0.9,1,1.0,0.1,1.0,binary:logistic,auc
72,0.765646,195,0.3,0.4,3,30,0.9,0.9,1,1.0,1.0,1.0,binary:logistic,auc
73,0.7625604,182,0.3,0.4,3,30,0.9,0.9,1,1.0,1.0,11.5,binary:logistic,auc
74,0.765646,195,0.3,0.4,3,30,0.9,0.9,1,1.0,1.0,1.0,binary:logistic,auc
