,result,iterations,task,objective,learning_rate,num_leaves,max_depth,min_data_in_leaf,min_sum_hessian_in_leaf,lambda_l1,lambda_l2,scale_pos_weight,metric,verbose
,0.788879321,720,train,binary,0.1,10,3,70,0.001,0.3,0,1,auc,-1
,0.7888334522,833,train,binary,0.1,10,3,40,0.001,0,0,1,auc,-1
,0.7888217736,625,train,binary,0.1,10,3,60,0.001,0,0,1,auc,-1
,0.7884353614,720,train,binary,0.1,10,3,10,0.001,0,0,1,auc,-1
,0.7873645703,415,train,binary,0.1,10,4,20,0.001,0,0,1,auc,-1
,0.7870648963,528,train,binary,0.1,10,3,70,0.001,0.7,0.6,11.5,auc,-1
,0.7865363347,472,train,binary,0.1,10,5,20,0.001,0,0,1,auc,-1
,0.7863243848,405,train,binary,0.1,10,7,20,0.001,0,0,1,auc,-1
,0.786165086,449,train,binary,0.1,10,6,20,0.001,0,0,1,auc,-1
,0.7860631269,591,train,binary,0.1,10,9,20,0.001,0,0,1,auc,-1
,0.7858356023,400,train,binary,0.1,10,8,20,0.001,0,0,1,auc,-1
,0.7858356023,400,train,binary,0.1,10,8,20,0.001,0,0,1,auc,-1
,0.7849765868,170,train,binary,0.1,50,8,20,0.001,0,0,1,auc,-1
,0.7848150148,245,train,binary,0.1,20,8,20,0.001,0,0,1,auc,-1
,0.7843315052,160,train,binary,0.1,40,8,20,0.001,0,0,1,auc,-1
,0.7841813958,155,train,binary,0.1,30,8,20,0.001,0,0,1,auc,-1
,0.7836279627,152,train,binary,0.1,60,8,20,0.001,0,0,1,auc,-1
,0.7835439981,153,train,binary,0.1,70,8,20,0.001,0,0,1,auc,-1
,0.7827397405,148,train,binary,0.1,80,8,20,0.001,0,0,1,auc,-1
,0.7823801509,145,train,binary,0.1,100,8,20,0.001,0,0,1,auc,-1
,0.781318308,144,train,binary,0.1,90,8,20,0.001,0,0,1,auc,-1
,0.7893929851,802,train,binary,0.1,10,3,60,0.001,0.7,0,1,auc,-1
,0.7879078825,712,train,binary,0.1,10,3,60,0.001,0.7,0,11.5,auc,-1
,0.7879078825,712,train,binary,0.1,10,3,60,0.001,0.7,0,11.5,auc,-1
,0.7879078825,712,train,binary,0.1,10,3,60,0.001,0.7,0,11.5,auc,-1
,0.7876819704,676,train,binary,0.1,10,3,60,0.001,0.7,0.7,11.5,auc,-1
,0.7876704525,658,train,binary,0.1,10,3,60,0.001,0.7,0.4,11.5,auc,-1
,0.7876498871,638,train,binary,0.1,10,3,60,0.001,0.2,0,11.5,auc,-1
,0.7876121016,750,train,binary,0.1,10,3,60,0.001,0,0,11.5,auc,-1
,0.7876121016,750,train,binary,0.1,10,3,60,0.001,0,0,11.5,auc,-1
,0.7875524863,618,train,binary,0.1,10,3,60,0.001,0.3,0,11.5,auc,-1
,0.787517558,759,train,binary,0.1,10,3,60,0.001,0.7,0.5,11.5,auc,-1
,0.7875082545,620,train,binary,0.1,10,3,60,0.001,0.6,0,11.5,auc,-1
,0.7875048809,771,train,binary,0.1,10,3,60,0.001,0.7,0.2,11.5,auc,-1
,0.7874299538,653,train,binary,0.1,10,3,60,0.001,0.5,0,11.5,auc,-1
,0.7872722762,586,train,binary,0.1,10,3,60,0.001,0.4,0,11.5,auc,-1
,0.7872028618,591,train,binary,0.1,10,3,60,0.001,0.7,0.6,11.5,auc,-1
,0.7871832178,511,train,binary,0.1,10,3,60,0.001,0.7,0.3,11.5,auc,-1
,0.7871802593,524,train,binary,0.1,10,3,60,0.001,0.1,0,11.5,auc,-1
,0.7871801441,652,train,binary,0.1,10,3,70,0.001,0,0,11.5,auc,-1
,0.787163864,661,train,binary,0.1,10,3,60,0.001,0.7,0.1,11.5,auc,-1
,0.7871048594,538,train,binary,0.1,10,3,80,0.001,0,0,11.5,auc,-1
,0.7870480428,556,train,binary,0.1,10,3,40,0.001,0,0,11.5,auc,-1
,0.7869595404,584,train,binary,0.1,10,3,20,0.001,0,0,11.5,auc,-1
,0.7869595404,584,train,binary,0.1,10,3,20,0.001,0,0,11.5,auc,-1
,0.7869140841,608,train,binary,0.1,10,3,50,0.001,0,0,11.5,auc,-1
,0.7868010943,515,train,binary,0.1,10,3,30,0.001,0,0,11.5,auc,-1
,0.7866555093,544,train,binary,0.1,10,3,10,0.001,0,0,11.5,auc,-1
,0.7864711582,451,train,binary,0.1,10,4,20,0.001,0,0,11.5,auc,-1
,0.7860951323,325,train,binary,0.1,10,5,20,0.001,0,0,11.5,auc,-1
,0.7860921326,405,train,binary,0.1,10,6,20,0.001,0,0,11.5,auc,-1
,0.7857936788,365,train,binary,0.1,10,9,20,0.001,0,0,11.5,auc,-1
,0.7852173257,297,train,binary,0.1,10,7,20,0.001,0,0,11.5,auc,-1
,0.7850265028,278,train,binary,0.1,10,8,20,0.001,0,0,11.5,auc,-1
,0.7850265028,278,train,binary,0.1,10,8,20,0.001,0,0,11.5,auc,-1
,0.7849122859,201,train,binary,0.1,20,8,20,0.001,0,0,11.5,auc,-1
,0.784410751,154,train,binary,0.1,30,8,20,0.001,0,0,11.5,auc,-1
,0.78379387,141,train,binary,0.1,40,8,20,0.001,0,0,11.5,auc,-1
,0.7833582747,127,train,binary,0.1,50,8,20,0.001,0,0,11.5,auc,-1
,0.781587964,118,train,binary,0.1,60,8,20,0.001,0,0,11.5,auc,-1
,0.7812956432,108,train,binary,0.1,70,8,20,0.001,0,0,11.5,auc,-1
,0.779591225,118,train,binary,0.1,80,8,20,0.001,0,0,11.5,auc,-1
,0.7789626714,95,train,binary,0.1,90,8,20,0.001,0,0,11.5,auc,-1
,0.777858785,113,train,binary,0.1,100,8,20,0.001,0,0,11.5,auc,-1
