,result,iterations,eta,gamma,max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,lambda,alpha,scale_pos_weight,objective,eval_metric,silent
47,0.7559961999999999,135,0.3,0.4,3,70,0.6,0.6,1,1.0,0.0,1.0,binary:logistic,auc,1
48,0.7567728,175,0.3,0.4,3,70,0.7,0.6,1,1.0,0.0,1.0,binary:logistic,auc,1
49,0.7568492,182,0.3,0.4,3,70,0.6,0.9,1,1.0,0.0,1.0,binary:logistic,auc,1
50,0.7568582,136,0.3,0.4,3,70,0.7,0.9,1,1.0,0.0,1.0,binary:logistic,auc,1
51,0.7569581999999999,172,0.3,0.4,3,70,0.6,0.8,1,1.0,0.0,1.0,binary:logistic,auc,1
52,0.7570433999999999,213,0.3,0.4,3,70,0.7,0.8,1,1.0,0.0,1.0,binary:logistic,auc,1
53,0.7570674000000001,161,0.3,0.4,3,70,0.7,0.7,1,1.0,0.0,1.0,binary:logistic,auc,1
54,0.7571896,135,0.3,0.4,3,70,0.8,0.7,1,1.0,0.0,1.0,binary:logistic,auc,1
55,0.7574697999999999,130,0.3,0.4,3,70,0.8,0.9,1,1.0,0.0,1.0,binary:logistic,auc,1
56,0.7574778,170,0.3,0.4,3,70,0.6,0.7,1,1.0,0.0,1.0,binary:logistic,auc,1
57,0.7576822,197,0.3,0.4,3,70,0.8,0.8,1,1.0,0.0,1.0,binary:logistic,auc,1
58,0.7578884,171,0.3,0.4,3,70,0.8,0.6,1,1.0,0.0,1.0,binary:logistic,auc,1
59,0.7579005999999999,186,0.3,0.4,3,70,0.9,0.9,1,1.0,0.0,1.0,binary:logistic,auc,1
60,0.757941,159,0.3,0.4,3,70,0.9,0.7,1,1.0,0.0,1.0,binary:logistic,auc,1
61,0.7582031999999999,201,0.3,0.4,3,70,0.9,0.6,1,1.0,0.0,1.0,binary:logistic,auc,1
62,0.7582172,139,0.3,0.4,3,70,0.9,0.8,1,1.0,0.0,1.0,binary:logistic,auc,1
63,0.7582172,139,0.3,0.4,3,70,0.9,0.8,1,1.0,0.0,1.0,binary:logistic,auc,1
64,0.7584212000000001,159,0.3,0.4,3,70,0.9,0.8,1,0.1,0.0,1.0,binary:logistic,auc,1
65,0.7585556,137,0.3,0.4,3,70,0.9,0.8,1,0.3,0.0,1.0,binary:logistic,auc,1
66,0.7586364000000001,193,0.3,0.4,3,70,0.9,0.8,1,0.01,0.0,1.0,binary:logistic,auc,1
67,0.7586365999999999,193,0.3,0.4,3,70,0.9,0.8,1,0.03,0.0,1.0,binary:logistic,auc,1
68,0.7580353999999999,159,0.3,0.4,3,70,0.9,0.8,1,0.03,1.0,1.0,binary:logistic,auc,1
69,0.7584012,140,0.3,0.4,3,70,0.9,0.8,1,0.03,0.01,1.0,binary:logistic,auc,1
70,0.7584025999999999,154,0.3,0.4,3,70,0.9,0.8,1,0.03,0.03,1.0,binary:logistic,auc,1
71,0.7584763999999999,144,0.3,0.4,3,70,0.9,0.8,1,0.03,0.3,1.0,binary:logistic,auc,1
72,0.7585308,162,0.3,0.4,3,70,0.9,0.8,1,0.03,0.1,1.0,binary:logistic,auc,1
73,0.7569146000000001,128,0.3,0.4,3,70,0.9,0.8,1,0.03,0.1,11.5,binary:logistic,auc,1
74,0.7585308,162,0.3,0.4,3,70,0.9,0.8,1,0.03,0.1,1.0,binary:logistic,auc,1
